Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-08-08 08:42:39.902 -0600,"Success",0:00:19,0,0,0,"20160808_084239.902/LogFile.txt","","",1
2016-08-10 09:13:42.787 -0600,"Success",0:00:18,0,0,0,"20160810_091342.787/LogFile.txt","","",1
2016-09-23 10:36:32.558 -0600,"Running",0:00:00,0,0,0,"20160923_103632.558/LogFile.txt","","",0
2016-09-23 11:29:21.854 -0600,"Running",0:00:00,0,0,0,"20160923_112921.854/LogFile.txt","","",0
2016-09-23 11:30:25.728 -0600,"Running",0:00:00,0,0,0,"20160923_113025.728/LogFile.txt","","",0
2016-09-23 11:31:58.211 -0600,"Success",0:00:20,0,0,0,"20160923_113158.211/LogFile.txt","","",1
2016-10-18 14:38:29.151 -0600,"Running",0:00:00,0,0,0,"20161018_143829.151/LogFile.txt","","",0
2016-10-18 14:39:37.057 -0600,"Success",0:00:24,0,0,0,"20161018_143937.057/LogFile.txt","","",1
2016-10-19 07:54:36.804 -0600,"Success",0:00:23,0,0,0,"20161019_075436.804/LogFile.txt","","",1
2016-10-24 08:05:50.122 -0600,"Success",0:00:23,0,0,0,"20161024_080550.122/LogFile.txt","","",1
2016-11-09 08:10:07.164 -0700,"Success",0:00:21,0,0,0,"20161109_081007.164/LogFile.txt","","",1
2016-11-09 08:10:54.756 -0700,"Running",0:00:00,0,0,0,"20161109_081054.756/LogFile.txt","","",0
2016-11-09 08:11:45.985 -0700,"Success",0:00:33,0,0,0,"20161109_081145.985/LogFile.txt","","",1
2016-11-17 15:20:05.432 -0700,"Running",0:00:00,0,0,0,"20161117_152005.432/LogFile.txt","","",0
2016-11-17 15:26:52.477 -0700,"Running",0:00:00,0,0,0,"20161117_152652.477/LogFile.txt","","",0
2016-11-17 15:27:05.204 -0700,"Running",0:00:00,0,0,0,"20161117_152705.204/LogFile.txt","","",0
2016-11-17 15:27:17.122 -0700,"Running",0:00:00,0,0,0,"20161117_152717.122/LogFile.txt","","",0
2016-11-17 15:28:15.914 -0700,"Running",0:00:00,0,0,0,"20161117_152815.914/LogFile.txt","","",0
2016-11-17 15:29:50.078 -0700,"Running",0:00:00,0,0,0,"20161117_152950.078/LogFile.txt","","",0
2016-11-17 15:32:11.962 -0700,"Running",0:00:00,0,0,0,"20161117_153211.962/LogFile.txt","","",0
2016-11-17 15:32:46.303 -0700,"Running",0:00:00,0,0,0,"20161117_153246.303/LogFile.txt","","",0
2016-11-17 15:33:35.296 -0700,"Failure",0:00:55,1,0,1,"20161117_153335.296/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Bing/Menu Bar"" within 10.00 seconds",0
2016-11-17 15:34:41.079 -0700,"Running",0:00:00,0,0,0,"20161117_153441.079/LogFile.txt","","",0
2016-11-17 15:35:35.027 -0700,"Running",0:00:00,0,0,0,"20161117_153535.027/LogFile.txt","","",0
2016-11-17 15:41:55.199 -0700,"Running",0:00:00,0,0,0,"20161117_154155.199/LogFile.txt","","",0
2016-11-17 15:42:33.498 -0700,"Running",0:00:00,0,0,0,"20161117_154233.498/LogFile.txt","","",0
2016-11-17 15:43:43.417 -0700,"Failure",0:00:46,1,0,1,"20161117_154343.417/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""IE/Buttons""",0
2016-11-17 15:48:44.722 -0700,"Failure",0:00:44,1,0,1,"20161117_154844.722/LogFile.txt","","Image Not Found -- imagelocation Error - Unable To Find Image ""Edge/Navigation""",0
2016-11-17 15:50:53.474 -0700,"Success",0:00:43,0,0,0,"20161117_155053.474/LogFile.txt","","",1
2016-11-17 15:52:30.816 -0700,"Success",0:00:41,0,0,0,"20161117_155230.816/LogFile.txt","","",1
2016-11-17 15:54:12.156 -0700,"Success",0:00:36,0,0,0,"20161117_155412.156/LogFile.txt","","",1
2016-11-29 09:14:36.131 -0700,"Success",0:00:40,0,0,0,"20161129_091436.131/LogFile.txt","","",1
2017-01-12 09:20:48.189 -0700,"Failure",0:00:20,1,0,1,"20170112_092048.189/LogFile.txt","","File Not Found -- imagelocation Error - Could Not Open Image: Edge/Navigation",0
2017-01-12 09:28:44.855 -0700,"Success",0:00:38,0,0,0,"20170112_092844.855/LogFile.txt","","",1
2017-02-14 10:09:11.859 -0700,"Failure",0:00:37,1,0,1,"20170214_100911.859/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Bing/Menu Bar"" within 10.00 seconds",0
2017-02-14 10:13:19.976 -0700,"Running",0:00:00,0,0,0,"20170214_101319.976/LogFile.txt","","",0
2017-02-14 10:14:40.708 -0700,"Success",0:00:33,0,0,0,"20170214_101440.708/LogFile.txt","","",1
2017-02-14 10:16:28.581 -0700,"Running",0:00:00,0,0,0,"20170214_101628.581/LogFile.txt","","",0
2017-02-14 10:19:43.797 -0700,"Failure",0:00:14,1,0,1,"20170214_101943.797/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: Edge/Refresh Icon",0
2017-02-14 10:22:13.500 -0700,"Success",0:00:41,0,0,0,"20170214_102213.500/LogFile.txt","","",1
2017-02-14 10:23:53.240 -0700,"Success",0:00:54,0,0,0,"20170214_102353.240/LogFile.txt","","",1
