Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-08-08 08:03:02.515 -0600,"Success",0:00:01,0,0,0,"20160808_080302.515/LogFile.txt","","",1
2016-08-08 08:07:34.944 -0600,"Success",0:00:03,0,0,0,"20160808_080734.944/LogFile.txt","","",1
2016-08-08 08:12:27.813 -0600,"Success",0:00:05,0,0,0,"20160808_081227.813/LogFile.txt","","",1
2016-08-08 08:12:50.021 -0600,"Success",0:00:07,0,0,0,"20160808_081250.021/LogFile.txt","","",1
2016-08-08 08:51:17.272 -0600,"Failure",0:00:09,1,0,1,"20160808_085117.272/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: VNC/Logo",0
2016-08-11 07:58:23.188 -0600,"Success",0:00:09,0,0,0,"20160811_075823.188/LogFile.txt","","",1
2016-08-11 08:00:27.742 -0600,"Success",0:00:21,0,0,0,"20160811_080027.742/LogFile.txt","","",1
2016-08-11 08:01:00.190 -0600,"Success",0:00:15,0,0,0,"20160811_080100.190/LogFile.txt","","",1
2016-08-11 08:24:33.983 -0600,"Success",0:00:16,0,0,0,"20160811_082433.983/LogFile.txt","","",1
2016-10-19 07:57:52.510 -0600,"Success",0:00:22,0,0,0,"20161019_075752.510/LogFile.txt","","",1
2016-10-19 08:01:10.405 -0600,"Success",0:00:23,0,0,0,"20161019_080110.405/LogFile.txt","","",1
2016-10-20 08:46:29.925 -0600,"Running",0:00:00,0,0,0,"20161020_084629.925/LogFile.txt","","",0
2016-10-20 08:48:22.318 -0600,"Failure",0:00:10,1,0,1,"20161020_084822.318/LogFile.txt","","Image Not Found -- imagefound Error - Image Property List did not contain ""ImageName"" property",0
2016-12-19 15:11:43.558 -0800,"Success",0:00:24,0,0,0,"20161219_151143.558/LogFile.txt","","",1
2017-01-12 09:48:06.672 -0700,"Failure",0:00:00,1,0,0,"20170112_094806.672/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'runwithnewresutls'",0
2017-01-23 08:22:28.852 -0700,"Success",0:00:19,0,0,0,"20170123_082228.852/LogFile.txt","","",1
2017-01-23 08:28:52.779 -0700,"Success",0:00:21,0,0,0,"20170123_082852.779/LogFile.txt","","",1
2017-01-23 08:52:05.820 -0700,"Success",0:00:20,0,0,0,"20170123_085205.820/LogFile.txt","","",1
2017-01-23 08:52:47.074 -0700,"Success",0:00:14,0,0,0,"20170123_085247.074/LogFile.txt","","",1
2017-01-23 08:53:12.510 -0700,"Success",0:00:19,0,0,0,"20170123_085312.510/LogFile.txt","","",1
2017-01-23 09:22:47.219 -0700,"Success",0:00:39,0,0,0,"20170123_092247.219/LogFile.txt","","",1
