Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-09 09:28:34.301 -0700,"Success",0:00:01,0,0,0,"20170209_092834.301/LogFile.txt","","",1
2017-02-09 09:29:43.590 -0700,"Success",0:00:01,0,0,0,"20170209_092943.590/LogFile.txt","","",1
2017-02-09 09:32:01.447 -0700,"Success",0:00:02,0,0,0,"20170209_093201.447/LogFile.txt","","",1
2017-02-22 09:06:13.335 -0700,"Failure",0:00:01,1,0,0,"20170222_090613.335/LogFile.txt","","MovieError -- Switching connections is not yet supported for movie recording",0
2017-02-22 09:06:38.690 -0700,"Failure",0:00:00,1,0,0,"20170222_090638.690/LogFile.txt","","MovieError -- Switching connections is not yet supported for movie recording",0
2017-02-22 09:06:49.741 -0700,"Failure",0:00:00,1,0,0,"20170222_090649.741/LogFile.txt","","MovieError -- Switching connections is not yet supported for movie recording",0
2017-02-22 09:13:48.781 -0700,"Failure",0:00:00,1,0,0,"20170222_091348.781/LogFile.txt","","MovieError -- Switching connections is not yet supported for movie recording",0
2017-02-22 09:14:00.493 -0700,"Success",0:00:15,0,0,0,"20170222_091400.493/LogFile.txt","","",1
2017-02-22 09:15:26.757 -0700,"Success",0:00:26,0,0,0,"20170222_091526.757/LogFile.txt","","",1
2017-02-22 12:50:36.199 -0700,"Success",0:00:02,0,0,0,"20170222_125036.199/LogFile.txt","","",1
2017-02-22 12:50:43.176 -0700,"Success",0:00:01,0,0,0,"20170222_125043.176/LogFile.txt","","",1
2017-02-22 12:51:12.607 -0700,"Success",0:00:03,0,0,0,"20170222_125112.607/LogFile.txt","","",1
2017-02-22 12:55:34.417 -0700,"Success",0:00:00,0,0,0,"20170222_125534.417/LogFile.txt","","",1
2017-02-22 12:56:03.738 -0700,"Success",0:00:00,0,0,0,"20170222_125603.738/LogFile.txt","","",1
2017-02-22 12:56:08.509 -0700,"Success",0:00:00,0,0,0,"20170222_125608.509/LogFile.txt","","",1
2017-02-22 12:56:32.393 -0700,"Success",0:00:00,0,0,0,"20170222_125632.393/LogFile.txt","","",1
2017-02-22 12:56:47.226 -0700,"Success",0:00:00,0,0,0,"20170222_125647.226/LogFile.txt","","",1
2017-02-22 12:57:50.149 -0700,"Success",0:00:00,0,0,0,"20170222_125750.149/LogFile.txt","","",1
