Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-03 08:47:36.229 -0700,"Success",0:00:00,0,0,0,"20170203_084736.229/LogFile.txt","","",1
2017-02-03 08:47:49.554 -0700,"Success",0:00:00,0,0,0,"20170203_084749.554/LogFile.txt","","",1
2017-02-03 08:47:55.428 -0700,"Success",0:00:00,0,0,0,"20170203_084755.428/LogFile.txt","","",1
2017-02-03 08:48:00.617 -0700,"Success",0:00:00,0,0,0,"20170203_084800.617/LogFile.txt","","",1
2017-02-03 08:48:11.622 -0700,"Success",0:00:00,0,0,0,"20170203_084811.622/LogFile.txt","","",1
2017-02-03 08:48:18.204 -0700,"Success",0:00:00,0,0,0,"20170203_084818.204/LogFile.txt","","",1
2017-02-03 08:48:23.481 -0700,"Success",0:00:00,0,0,0,"20170203_084823.481/LogFile.txt","","",1
2017-02-03 08:49:08.403 -0700,"Failure",0:00:00,1,0,0,"20170203_084908.403/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'repeatinde'",0
2017-02-03 08:49:15.108 -0700,"Success",0:00:00,0,0,0,"20170203_084915.108/LogFile.txt","","",1
2017-02-03 08:49:44.108 -0700,"Success",0:00:03,0,0,0,"20170203_084944.108/LogFile.txt","","",1
2017-02-03 08:50:00.292 -0700,"Success",0:00:07,0,0,0,"20170203_085000.292/LogFile.txt","","",1
