Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-17 15:44:03.020 -0600,"Success",0:00:00,0,0,0,"20160517_154403.020/LogFile.txt","","",1
2016-05-17 15:45:48.313 -0600,"Success",0:00:00,0,0,0,"20160517_154548.313/LogFile.txt","","",1
2016-05-17 15:47:17.924 -0600,"Failure",0:00:00,1,0,0,"20160517_154717.924/LogFile.txt","","SenseTalk Compiler Exception -- in index:\nSyntax Error at line 8: Syntax Error - can't understand [end of script] at or near character 185",0
2016-05-17 15:47:25.399 -0600,"Failure",0:00:00,1,0,0,"20160517_154725.399/LogFile.txt","","SenseTalk Compiler Exception -- in index:\nSyntax Error at line 8: Syntax Error - can't understand [end of script] at or near character 185",0
2016-05-17 15:47:44.738 -0600,"Success",0:00:00,0,0,0,"20160517_154744.738/LogFile.txt","","",1
2016-05-17 15:49:51.737 -0600,"Failure",0:00:00,1,0,0,"20160517_154951.737/LogFile.txt","","SenseTalk Compiler Exception -- in index:\nSyntax Error at line 8: Syntax Error - can't understand [end of script] at or near character 185",0
2016-05-17 15:50:01.408 -0600,"Success",0:00:00,0,0,0,"20160517_155001.408/LogFile.txt","","",1
2016-05-17 15:50:15.909 -0600,"Failure",0:00:00,1,0,0,"20160517_155015.909/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'rmenu'",0
2016-05-17 15:50:31.982 -0600,"Success",0:00:02,0,0,0,"20160517_155031.982/LogFile.txt","","",1
2016-05-17 15:51:09.449 -0600,"Failure",0:00:07,1,0,1,"20160517_155109.449/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""Text Document"")""  Restricted Search Rectangle ((489,174),(639,674))\n",0
2016-05-17 15:51:24.735 -0600,"Failure",0:00:10,1,0,1,"20160517_155124.735/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""Text Document"")""  Restricted Search Rectangle ((489,174),(989,374))\n",0
2016-05-17 15:51:40.328 -0600,"Success",0:00:03,0,0,0,"20160517_155140.328/LogFile.txt","","",1
2016-05-17 15:52:41.916 -0600,"Success",0:00:02,0,0,0,"20160517_155241.916/LogFile.txt","","",1
2016-05-17 15:53:16.017 -0600,"Success",0:00:03,0,0,0,"20160517_155316.017/LogFile.txt","","",1
2016-05-17 15:53:46.338 -0600,"Success",0:00:03,0,0,0,"20160517_155346.338/LogFile.txt","","",1
2016-05-17 16:00:28.318 -0600,"Running",0:00:00,0,0,0,"20160517_160028.318/LogFile.txt","","",0
2016-05-18 08:14:57.436 -0600,"Failure",0:00:13,1,0,1,"20160518_081457.436/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: ￼",0
2016-05-18 09:03:01.103 -0600,"Success",0:00:14,0,0,0,"20160518_090301.103/LogFile.txt","","",1
2016-05-18 09:05:41.993 -0600,"Failure",0:00:14,1,0,0,"20160518_090541.993/LogFile.txt","","STUnknownMessage -- ERROR: 'imagefound' was called as a Command, but is only available as a Function",0
2016-05-18 09:13:11.159 -0600,"Running",0:00:00,0,0,0,"20160518_091311.159/LogFile.txt","","",0
2016-05-18 09:17:46.623 -0600,"Failure",0:00:15,1,0,0,"20160518_091746.623/LogFile.txt","","Error Running Script Command -- click Error - Error Computing Rectangle: (\n    672,\n    360,\n    1072,\n    760,\n    485,\n    245,\n    885,\n    645\n)",0
2016-05-18 09:18:40.252 -0600,"Failure",0:00:15,1,0,0,"20160518_091840.252/LogFile.txt","","Error Running Script Command -- click Error - Error Computing Rectangle: (\n    672,\n    360,\n    1072,\n    760,\n    485,\n    245,\n    885,\n    645\n)",0
2016-05-18 09:19:35.692 -0600,"Failure",0:00:15,1,0,0,"20160518_091935.692/LogFile.txt","","Error Running Script Command -- click Error - Error Computing Rectangle: (\n    672,\n    360,\n    1072,\n    760,\n    485,\n    245,\n    885,\n    645\n)",0
2016-05-18 09:22:06.348 -0600,"Failure",0:00:16,1,0,0,"20160518_092206.348/LogFile.txt","","Error Running Script Command -- click Error - Error Computing Rectangle: (\n    672,\n    360,\n    1072,\n    760,\n    485,\n    245,\n    885,\n    645\n)",0
2016-05-18 09:24:08.413 -0600,"Failure",0:00:16,1,0,0,"20160518_092408.413/LogFile.txt","","Error Running Script Command -- click Error - Error Computing Rectangle: (\n    471,\n    174,\n    871,\n    574,\n    485,\n    245,\n    885,\n    645\n)",0
2016-05-18 09:24:40.540 -0600,"Running",0:00:00,0,0,0,"20160518_092440.540/LogFile.txt","","",0
2016-05-18 09:24:56.981 -0600,"Running",0:00:00,0,0,0,"20160518_092456.981/LogFile.txt","","",0
2016-05-18 11:23:24.637 -0600,"Failure",0:00:01,1,0,0,"20160518_112324.637/LogFile.txt","","Error Running Script Command -- click Error - Error Computing Rectangle: rmenu",0
2016-05-18 11:26:07.070 -0600,"Failure",0:00:20,1,0,1,"20160518_112607.070/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""DropBox Item"" within 2.00 seconds",0
2016-05-18 11:41:44.585 -0600,"Failure",0:00:40,1,0,1,"20160518_114144.585/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""Paste"")""  Restricted Search Rectangle ((485,245),(885,645))\n",0
