Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-11 14:13:25.266 -0600,"Success",0:00:08,0,0,0,"20160511_141325.266/LogFile.txt","","",1
2016-05-11 14:14:13.161 -0600,"Success",0:00:09,0,0,0,"20160511_141413.161/LogFile.txt","","",1
2016-05-11 15:01:07.698 -0600,"Running",0:00:00,0,0,0,"20160511_150107.698/LogFile.txt","","",0
2016-05-11 15:01:33.753 -0600,"Running",0:00:00,0,0,0,"20160511_150133.753/LogFile.txt","","",0
2016-05-11 15:01:52.445 -0600,"Running",0:00:00,0,0,0,"20160511_150152.445/LogFile.txt","","",0
2016-05-11 15:02:10.138 -0600,"Running",0:00:00,0,0,0,"20160511_150210.138/LogFile.txt","","",0
2016-05-11 15:02:28.775 -0600,"Failure",0:00:09,1,0,1,"20160511_150228.775/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Microphone""",0
2016-05-11 15:02:49.586 -0600,"Running",0:00:00,0,0,0,"20160511_150249.586/LogFile.txt","","",0
2016-05-11 15:03:00.289 -0600,"Running",0:00:00,0,0,0,"20160511_150300.289/LogFile.txt","","",0
2016-05-11 15:03:33.797 -0600,"Failure",0:00:28,1,0,1,"20160511_150333.797/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Drive Icon""",0
2016-05-11 15:04:21.478 -0600,"Failure",0:00:04,1,0,1,"20160511_150421.478/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Google Image""",0
2016-05-11 15:04:30.009 -0600,"Failure",0:01:10,1,0,1,"20160511_150430.009/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Drive Icon""",0
2016-05-11 15:06:08.104 -0600,"Success",0:01:13,0,0,0,"20160511_150608.104/LogFile.txt","","",1
2016-05-11 15:26:28.650 -0600,"Success",0:01:36,0,0,0,"20160511_152628.650/LogFile.txt","","",1
2016-05-11 15:28:49.739 -0600,"Failure",0:00:29,1,0,1,"20160511_152849.739/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Route Blue""",0
2016-05-11 15:29:57.179 -0600,"Success",0:01:34,0,0,0,"20160511_152957.179/LogFile.txt","","",1
2016-05-11 15:32:16.865 -0600,"Failure",0:00:32,1,0,1,"20160511_153216.865/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Route Blue""",0
2016-05-11 15:34:21.616 -0600,"Failure",0:00:31,1,0,1,"20160511_153421.616/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Google Maps/Microphone""",0
2016-05-11 15:35:01.684 -0600,"Running",0:00:00,0,0,0,"20160511_153501.684/LogFile.txt","","",0
2016-05-11 15:36:29.804 -0600,"Running",0:00:00,0,0,0,"20160511_153629.804/LogFile.txt","","",0
2016-05-11 15:36:45.439 -0600,"Failure",0:00:04,1,0,0,"20160511_153645.439/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'clicklocation'",0
2016-05-11 15:37:31.359 -0600,"Running",0:00:00,0,0,0,"20160511_153731.359/LogFile.txt","","",0
