Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-04-11 14:17:22.967 -0600,"Failure",0:00:00,1,0,1,"20170411_141722.967/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2017-04-11 14:17:29.546 -0600,"Failure",0:00:00,1,0,1,"20170411_141729.546/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2017-04-11 14:17:39.607 -0600,"Success",0:00:00,0,0,0,"20170411_141739.607/LogFile.txt","","",1
2017-04-11 14:18:56.798 -0600,"Success",0:00:02,0,0,0,"20170411_141856.798/LogFile.txt","","",1
2017-04-11 14:19:55.591 -0600,"Success",0:00:03,0,0,0,"20170411_141955.591/LogFile.txt","","",1
2017-04-11 14:20:07.321 -0600,"Success",0:00:03,0,0,0,"20170411_142007.321/LogFile.txt","","",1
2017-04-11 14:20:39.778 -0600,"Success",0:00:03,0,0,0,"20170411_142039.778/LogFile.txt","","",1
2017-04-11 14:21:08.929 -0600,"Success",0:00:03,0,0,0,"20170411_142108.929/LogFile.txt","","",1
2017-04-11 14:21:35.914 -0600,"Success",0:00:04,0,0,0,"20170411_142135.914/LogFile.txt","","",1
2017-04-11 15:00:33.177 -0600,"Success",0:00:04,0,0,0,"20170411_150033.177/LogFile.txt","","",1
2017-04-11 15:50:19.923 -0600,"Success",0:00:05,0,0,0,"20170411_155019.923/LogFile.txt","","",1
2017-04-11 15:52:04.802 -0600,"Success",0:00:07,0,0,0,"20170411_155204.802/LogFile.txt","","",1
2017-04-11 15:53:05.708 -0600,"Success",0:00:07,0,0,0,"20170411_155305.708/LogFile.txt","","",1
2017-04-11 15:53:46.570 -0600,"Success",0:00:08,0,0,0,"20170411_155346.570/LogFile.txt","","",1
2017-04-11 15:55:30.383 -0600,"Success",0:00:09,0,0,0,"20170411_155530.383/LogFile.txt","","",1
2017-04-11 15:56:08.337 -0600,"Success",0:00:10,0,0,0,"20170411_155608.337/LogFile.txt","","",1
2017-04-11 15:56:59.377 -0600,"Success",0:00:10,0,0,0,"20170411_155659.377/LogFile.txt","","",1
2017-04-11 15:57:52.738 -0600,"Failure",0:00:10,1,0,0,"20170411_155752.738/LogFile.txt","","Internal Error -- Invalid parameter (nil msgname) to commandMessage:withParameters:",0
2017-04-11 15:58:55.356 -0600,"Success",0:00:11,0,0,0,"20170411_155855.356/LogFile.txt","","",1
2017-04-12 17:14:53.776 -0600,"Success",0:00:17,0,0,0,"20170412_171453.776/LogFile.txt","","",1
2017-04-13 13:56:04.372 -0600,"Running",0:00:00,0,0,0,"20170413_135604.372/LogFile.txt","","",0
2017-04-13 14:23:17.458 -0600,"Success",0:00:17,0,0,0,"20170413_142317.458/LogFile.txt","","",1
