Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-11-29 16:08:32.694 -0700,"Success",0:00:01,0,0,0,"20161129_160832.694/LogFile.txt","","",1
2016-11-29 16:08:43.825 -0700,"Success",0:00:01,0,0,0,"20161129_160843.825/LogFile.txt","","",1
2016-11-29 16:08:57.553 -0700,"Success",0:00:01,0,0,0,"20161129_160857.553/LogFile.txt","","",1
2016-11-29 16:09:11.037 -0700,"Success",0:00:01,0,0,0,"20161129_160911.037/LogFile.txt","","",1
2016-11-29 16:09:12.412 -0700,"Success",0:00:01,0,0,0,"20161129_160912.412/LogFile.txt","","",1
2016-11-30 10:48:25.816 -0700,"Success",0:00:00,0,0,0,"20161130_104825.816/LogFile.txt","","",1
2016-11-30 10:50:43.758 -0700,"Success",0:00:00,0,0,0,"20161130_105043.758/LogFile.txt","","",1
2016-11-30 10:51:16.542 -0700,"Success",0:00:00,0,0,0,"20161130_105116.542/LogFile.txt","","",1
2016-11-30 10:51:24.097 -0700,"Success",0:00:00,0,0,0,"20161130_105124.097/LogFile.txt","","",1
2016-11-30 10:51:31.192 -0700,"Success",0:00:00,0,0,0,"20161130_105131.192/LogFile.txt","","",1
2016-11-30 14:10:21.059 -0700,"Success",0:00:01,0,0,0,"20161130_141021.059/LogFile.txt","","",1
2016-11-30 14:12:11.671 -0700,"Success",0:00:00,0,0,0,"20161130_141211.671/LogFile.txt","","",1
2016-11-30 14:37:36.365 -0700,"Success",0:00:01,0,0,0,"20161130_143736.365/LogFile.txt","","",1
2016-11-30 14:39:01.685 -0700,"Success",0:00:01,0,0,0,"20161130_143901.685/LogFile.txt","","",1
