Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-11-10 09:57:39.570 -0700,"Success",0:00:00,0,0,0,"20161110_095739.570/LogFile.txt","","",1
2016-11-17 08:31:01.060 -0700,"Success",0:00:05,0,0,0,"20161117_083101.060/LogFile.txt","","",1
2016-11-17 08:31:11.441 -0700,"Success",0:00:05,0,0,0,"20161117_083111.441/LogFile.txt","","",1
2016-11-17 08:31:29.309 -0700,"Success",0:00:05,0,0,0,"20161117_083129.309/LogFile.txt","","",1
2016-11-17 08:31:40.872 -0700,"Success",0:00:05,0,0,0,"20161117_083140.872/LogFile.txt","","",1
2016-11-17 08:31:58.070 -0700,"Success",0:00:05,0,0,0,"20161117_083158.070/LogFile.txt","","",1
2016-11-17 08:32:20.973 -0700,"Success",0:00:04,0,0,0,"20161117_083220.973/LogFile.txt","","",1
2016-11-17 08:33:31.236 -0700,"Success",0:00:04,0,0,0,"20161117_083331.236/LogFile.txt","","",1
2016-11-17 08:33:41.713 -0700,"Failure",0:00:00,1,0,0,"20161117_083341.713/LogFile.txt","","STInvalidNumber -- Value is not a number: 'PatientAllergies⏎...'",0
2016-11-17 08:33:53.969 -0700,"Success",0:00:04,0,0,0,"20161117_083353.969/LogFile.txt","","",1
2016-11-17 08:34:15.692 -0700,"Success",0:00:04,0,0,0,"20161117_083415.692/LogFile.txt","","",1
2016-11-17 08:34:31.918 -0700,"Success",0:00:04,0,0,0,"20161117_083431.918/LogFile.txt","","",1
2016-11-17 10:21:47.059 -0700,"Success",0:00:02,0,0,0,"20161117_102147.059/LogFile.txt","","",1
2016-11-17 10:22:24.331 -0700,"Success",0:00:02,0,0,0,"20161117_102224.331/LogFile.txt","","",1
2016-11-17 10:22:37.853 -0700,"Success",0:00:02,0,0,0,"20161117_102237.853/LogFile.txt","","",1
