Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Index No CSV,Success,3,1,2016-11-29 15:47:47 -0700,2016-12-19 15:32:51 -0800,0:04:02
PatientAllergies,Success,1,0,2016-08-03 10:34:26 -0600,2016-08-03 10:34:26 -0600,0:00:00
DNC,Success,14,0,2016-11-29 16:08:32 -0700,2016-11-30 14:39:01 -0700,0:00:01
PatientFind,Success,1,0,2016-11-21 11:42:37 -0700,2016-11-21 11:42:37 -0700,0:00:04
Index,Failure,17,13,2016-08-03 10:11:29 -0600,2016-10-21 11:51:06 -0600,0:00:00
Index Full Run,Failure,10,3,2016-11-17 11:25:15 -0700,2016-12-21 14:41:34 -0700,0:02:16
Barcode,Success,15,1,2016-11-10 09:57:39 -0700,2016-11-17 10:22:37 -0700,0:00:04
PatientDelete,Success,6,2,2016-08-08 10:56:26 -0600,2016-09-20 13:53:59 -0600,0:00:00
DOBMod,Success,30,0,2016-09-08 14:12:07 -0600,2016-11-28 09:19:27 -0700,0:00:01
PatientVisit,Success,5,2,2016-09-26 08:16:45 -0600,2016-09-26 08:20:13 -0600,0:00:00
MicroDicom,Success,24,0,2016-08-03 12:30:06 -0600,2016-12-05 13:20:40 -0600,0:00:12
PatientNew,Success,3,0,2016-11-10 08:08:18 -0700,2016-11-21 11:27:20 -0700,0:00:00
