Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-23 13:15:01.925 -0600,"Success",0:00:01,0,0,0,"20160623_131501.925/LogFile.txt","","",1
2016-06-23 13:15:23.584 -0600,"Success",0:00:00,0,0,0,"20160623_131523.584/LogFile.txt","","",1
2016-06-23 13:16:44.175 -0600,"Success",0:00:00,0,0,0,"20160623_131644.175/LogFile.txt","","",1
2016-06-23 13:22:41.815 -0600,"Failure",0:00:00,1,0,0,"20160623_132241.815/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:22:51.650 -0600,"Failure",0:00:00,1,0,0,"20160623_132251.650/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:23:24.437 -0600,"Failure",0:00:00,1,0,0,"20160623_132324.437/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:23:46.308 -0600,"Failure",0:00:00,1,0,0,"20160623_132346.308/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:23:56.100 -0600,"Failure",0:00:00,1,0,0,"20160623_132356.100/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:24:14.644 -0600,"Failure",0:00:00,1,0,0,"20160623_132414.644/LogFile.txt","","STUnknownMessage -- ERROR: 'param' was called as a Command, but is only available as a Function",0
2016-06-23 13:24:30.676 -0600,"Success",0:00:01,0,0,0,"20160623_132430.676/LogFile.txt","","",1
2016-06-23 13:52:40.197 -0600,"Failure",0:00:00,1,0,0,"20160623_135240.197/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:53:21.456 -0600,"Failure",0:00:00,1,0,0,"20160623_135321.456/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:54:11.099 -0600,"Failure",0:00:00,1,0,0,"20160623_135411.099/LogFile.txt","","STUnknownMessage -- ERROR: 'params' was called as a Command, but is only available as a Function",0
2016-06-23 13:55:18.900 -0600,"Success",0:00:01,0,0,0,"20160623_135518.900/LogFile.txt","","",1
2016-06-23 13:55:42.144 -0600,"Success",0:00:01,0,0,0,"20160623_135542.144/LogFile.txt","","",1
2016-06-23 13:57:15.991 -0600,"Failure",0:00:07,1,0,1,"20160623_135715.991/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""DontSave""",0
2016-06-23 13:58:36.834 -0600,"Failure",0:00:07,1,0,1,"20160623_135836.834/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Close""",0
2016-06-23 13:59:07.326 -0600,"Success",0:00:05,0,0,0,"20160623_135907.326/LogFile.txt","","",1
2016-06-23 13:59:55.903 -0600,"Success",0:00:07,0,0,0,"20160623_135955.903/LogFile.txt","","",1
2016-06-23 14:00:47.966 -0600,"Success",0:00:06,0,0,0,"20160623_140047.966/LogFile.txt","","",1
2016-06-23 14:01:56.517 -0600,"Success",0:00:08,0,0,0,"20160623_140156.517/LogFile.txt","","",1
2016-06-23 14:02:36.946 -0600,"Success",0:00:07,0,0,0,"20160623_140236.946/LogFile.txt","","",1
2016-06-23 14:22:58.052 -0600,"Success",0:00:07,0,0,0,"20160623_142258.052/LogFile.txt","","",1
2016-06-23 14:24:02.930 -0600,"Success",0:00:07,0,0,0,"20160623_142402.930/LogFile.txt","","",1
2016-06-23 14:24:26.782 -0600,"Success",0:00:07,0,0,0,"20160623_142426.782/LogFile.txt","","",1
2016-06-23 14:24:46.674 -0600,"Success",0:00:07,0,0,0,"20160623_142446.674/LogFile.txt","","",1
2016-06-23 14:25:06.311 -0600,"Success",0:00:07,0,0,0,"20160623_142506.311/LogFile.txt","","",1
2016-06-23 14:26:15.109 -0600,"Success",0:00:07,0,0,0,"20160623_142615.109/LogFile.txt","","",1
2016-06-23 14:28:24.084 -0600,"Success",0:00:07,0,0,0,"20160623_142824.084/LogFile.txt","","",1
2016-06-23 14:29:02.350 -0600,"Success",0:00:07,0,0,0,"20160623_142902.350/LogFile.txt","","",1
2016-06-23 14:29:13.493 -0600,"Success",0:00:07,0,0,0,"20160623_142913.493/LogFile.txt","","",1
2016-06-23 14:29:49.137 -0600,"Success",0:00:07,0,0,0,"20160623_142949.137/LogFile.txt","","",1
2016-06-23 14:30:10.089 -0600,"Success",0:00:07,0,0,0,"20160623_143010.089/LogFile.txt","","",1
2016-06-23 14:30:30.692 -0600,"Success",0:00:07,0,0,0,"20160623_143030.692/LogFile.txt","","",1
2016-06-23 14:31:10.553 -0600,"Success",0:00:07,0,0,0,"20160623_143110.553/LogFile.txt","","",1
2016-06-24 09:22:51.406 -0600,"Success",0:00:07,0,0,0,"20160624_092251.406/LogFile.txt","","",1
2016-06-24 09:25:48.773 -0600,"Success",0:00:07,0,0,0,"20160624_092548.773/LogFile.txt","","",1
2016-06-24 09:26:35.482 -0600,"Success",0:00:07,0,0,0,"20160624_092635.482/LogFile.txt","","",1
