Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-04-21 14:37:36.905 -0600,"Success",0:00:00,0,0,0,"20160421_143736.905/LogFile.txt","","",1
2016-04-21 14:38:38.316 -0600,"Success",0:00:00,0,0,0,"20160421_143838.316/LogFile.txt","","",1
2016-04-21 14:38:50.544 -0600,"Success",0:00:00,0,0,0,"20160421_143850.544/LogFile.txt","","",1
2016-04-21 14:43:01.918 -0600,"Success",0:00:00,0,0,0,"20160421_144301.918/LogFile.txt","","",1
2016-04-21 14:43:12.217 -0600,"Success",0:00:00,0,0,0,"20160421_144312.217/LogFile.txt","","",1
2016-04-21 14:43:44.965 -0600,"Success",0:00:00,0,0,0,"20160421_144344.965/LogFile.txt","","",1
2016-04-21 14:45:23.179 -0600,"Success",0:00:00,0,0,0,"20160421_144523.179/LogFile.txt","","",1
2016-04-21 14:46:15.618 -0600,"Success",0:00:00,0,0,0,"20160421_144615.618/LogFile.txt","","",1
2016-04-21 15:00:54.464 -0600,"Success",0:00:00,0,0,0,"20160421_150054.464/LogFile.txt","","",1
2016-04-21 15:01:50.525 -0600,"Success",0:00:00,0,0,0,"20160421_150150.525/LogFile.txt","","",1
2016-04-21 15:02:28.237 -0600,"Success",0:00:00,0,0,0,"20160421_150228.237/LogFile.txt","","",1
2016-04-21 15:02:45.552 -0600,"Failure",0:00:00,1,0,0,"20160421_150245.552/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'stocklist'",0
2016-04-21 15:02:56.263 -0600,"Success",0:00:00,0,0,0,"20160421_150256.263/LogFile.txt","","",1
2016-04-21 15:06:57.560 -0600,"Success",0:00:00,0,0,0,"20160421_150657.560/LogFile.txt","","",1
2016-04-21 15:07:15.912 -0600,"Success",0:00:00,0,0,0,"20160421_150715.912/LogFile.txt","","",1
2016-04-21 15:07:33.095 -0600,"Success",0:00:00,0,0,0,"20160421_150733.095/LogFile.txt","","",1
2016-04-21 15:07:42.195 -0600,"Success",0:00:00,0,0,0,"20160421_150742.195/LogFile.txt","","",1
2016-04-21 15:12:26.286 -0600,"Success",0:00:00,0,0,0,"20160421_151226.286/LogFile.txt","","",1
2016-04-21 15:12:37.968 -0600,"Success",0:00:00,0,0,0,"20160421_151237.968/LogFile.txt","","",1
2016-04-21 15:12:51.643 -0600,"Success",0:00:00,0,0,0,"20160421_151251.643/LogFile.txt","","",1
2016-04-21 15:26:28.076 -0600,"Success",0:00:00,0,0,0,"20160421_152628.076/LogFile.txt","","",1
2016-04-21 15:29:38.630 -0600,"Failure",0:00:00,1,0,0,"20160421_152938.630/LogFile.txt","","SenseTalk Compiler Exception -- in <do>:\nSyntax Error at line 1: Syntax Error - can't understand ""Name"" at or near character 13",0
2016-04-21 15:30:16.041 -0600,"Success",0:00:00,0,0,0,"20160421_153016.041/LogFile.txt","","",1
2016-04-21 15:30:28.749 -0600,"Failure",0:00:00,1,0,0,"20160421_153028.749/LogFile.txt","","SenseTalk Compiler Exception -- in <do>:\nSyntax Error at line 1: Syntax Error - can't understand ""Name"" at or near character 29",0
2016-04-21 15:30:35.188 -0600,"Success",0:00:00,0,0,0,"20160421_153035.188/LogFile.txt","","",1
2016-04-21 15:30:47.944 -0600,"Success",0:00:00,0,0,0,"20160421_153047.944/LogFile.txt","","",1
2016-04-21 15:32:13.639 -0600,"Success",0:00:00,0,0,0,"20160421_153213.639/LogFile.txt","","",1
2016-04-21 15:32:27.267 -0600,"Success",0:00:00,0,0,0,"20160421_153227.267/LogFile.txt","","",1
2016-04-21 15:32:38.715 -0600,"Success",0:00:00,0,0,0,"20160421_153238.715/LogFile.txt","","",1
2016-04-21 15:33:01.327 -0600,"Success",0:00:00,0,0,0,"20160421_153301.327/LogFile.txt","","",1
2016-04-21 15:33:45.938 -0600,"Success",0:00:00,0,0,0,"20160421_153345.938/LogFile.txt","","",1
2016-04-21 15:34:14.321 -0600,"Success",0:00:00,0,0,0,"20160421_153414.321/LogFile.txt","","",1
2016-04-21 15:34:39.967 -0600,"Success",0:00:00,0,0,0,"20160421_153439.967/LogFile.txt","","",1
2016-04-21 15:34:48.661 -0600,"Success",0:00:00,0,0,0,"20160421_153448.661/LogFile.txt","","",1
2016-04-21 15:36:30.678 -0600,"Running",0:00:00,0,0,0,"20160421_153630.678/LogFile.txt","","",0
2016-04-21 15:37:12.460 -0600,"Failure",0:00:00,1,0,0,"20160421_153712.460/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 't'",0
2016-04-21 15:37:22.353 -0600,"Running",0:00:00,0,0,0,"20160421_153722.353/LogFile.txt","","",0
