Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-17 12:20:05.993 -0600,"Success",0:00:40,0,0,0,"20160517_122005.993/LogFile.txt","","",2
2016-05-17 12:20:51.278 -0600,"Success",0:00:41,0,0,0,"20160517_122051.278/LogFile.txt","","",2
2016-06-03 08:16:36.629 -0600,"Failure",0:01:42,1,0,1,"20160603_081636.629/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Twitter/Log In/Logo""",1
2016-06-03 08:18:50.558 -0600,"Success",0:01:35,0,0,0,"20160603_081850.558/LogFile.txt","","",2
2016-06-03 08:46:51.792 -0600,"Success",0:00:39,0,0,0,"20160603_084651.792/LogFile.txt","","",2
2016-06-03 08:47:52.431 -0600,"Failure",0:00:22,1,0,1,"20160603_084752.431/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Chrome Search Icons"" within 10.00 seconds",1
2016-06-03 08:48:42.977 -0600,"Failure",0:01:33,1,0,1,"20160603_084842.977/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Twitter/Log Out/Log Out Button""",2
2016-06-03 08:51:56.221 -0600,"Success",0:01:25,0,0,0,"20160603_085156.221/LogFile.txt","","",2
2016-06-03 09:11:10.800 -0600,"Success",0:01:44,0,0,0,"20160603_091110.800/LogFile.txt","","",2
2016-06-03 09:13:06.538 -0600,"Success",0:00:43,0,0,0,"20160603_091306.538/LogFile.txt","","",2
2016-06-07 10:55:29.040 -0600,"Success",0:00:59,0,0,0,"20160607_105529.040/LogFile.txt","","",2
2016-06-08 10:36:21.558 -0600,"Success",0:00:53,0,0,0,"20160608_103621.558/LogFile.txt","","",2
2016-06-08 10:43:49.069 -0600,"Failure",0:00:24,1,0,1,"20160608_104349.069/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Chrome Search Icons"" within 10.00 seconds",1
2016-06-08 10:44:26.049 -0600,"Success",0:01:32,0,0,0,"20160608_104426.049/LogFile.txt","","",2
2016-06-17 13:24:07.847 -0600,"Failure",0:00:10,2,0,1,"20160617_132407.847/LogFile.txt","","Error Running Script Command -- runwithnewresults Error - Unable to locate script named: ",0
