Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-02 16:12:17.139 -0600,"Success",0:00:00,0,0,0,"20160502_161217.139/LogFile.txt","","",1
2016-05-02 16:14:20.614 -0600,"Failure",0:00:00,1,0,1,"20160502_161420.614/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: 06",0
2016-05-02 16:15:47.185 -0600,"Running",0:00:00,0,0,0,"20160502_161547.185/LogFile.txt","","",0
2016-05-02 16:17:23.527 -0600,"Running",0:00:00,0,0,0,"20160502_161723.527/LogFile.txt","","",0
2016-05-02 16:23:33.718 -0600,"Running",0:00:00,0,0,0,"20160502_162333.718/LogFile.txt","","",0
2016-05-02 16:23:49.102 -0600,"Failure",0:01:13,1,0,1,"20160502_162349.102/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""2006"")""",0
2016-05-02 16:26:31.573 -0600,"Failure",0:00:09,1,0,1,"20160502_162631.573/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""2006"")""",0
2016-05-04 13:07:33.050 -0600,"Failure",0:00:00,1,0,0,"20160504_130733.050/LogFile.txt","","STUnknownMessage -- ERROR: 'readtext' was called as a Command, but is only available as a Function",0
2016-05-04 13:09:45.694 -0600,"Running",0:00:00,0,0,0,"20160504_130945.694/LogFile.txt","","",0
2016-05-04 13:09:54.316 -0600,"Running",0:00:00,0,0,0,"20160504_130954.316/LogFile.txt","","",0
2016-05-04 13:16:15.471 -0600,"Failure",0:00:03,1,0,0,"20160504_131615.471/LogFile.txt","","Image Not Found -- click Error - Unable To Find Image: TL_DatePicker",0
2016-05-04 13:17:14.312 -0600,"Success",0:00:02,0,0,0,"20160504_131714.312/LogFile.txt","","",1
2016-05-04 13:17:32.808 -0600,"Running",0:00:00,0,0,0,"20160504_131732.808/LogFile.txt","","",0
2016-05-04 13:26:23.980 -0600,"Running",0:00:00,0,0,0,"20160504_132623.980/LogFile.txt","","",0
2016-05-04 13:35:13.745 -0600,"Failure",0:00:07,1,0,1,"20160504_133513.745/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""2016"")""  Restricted Search Rectangle ((857,120),(1156,351))\n",0
2016-05-04 13:35:29.373 -0600,"Failure",0:00:10,1,0,1,"20160504_133529.373/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""17"")""  Restricted Search Rectangle ((1007,153),(1067,616))\n",0
2016-05-04 13:36:31.921 -0600,"Success",0:00:07,0,0,0,"20160504_133631.921/LogFile.txt","","",1
2016-05-04 15:28:32.184 -0600,"Failure",0:00:11,1,0,1,"20160504_152832.184/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""(TEXT:""2016"")""  Restricted Search Rectangle ((857,120),(1156,351))\n",0
2016-05-04 16:00:27.063 -0600,"Failure",0:00:00,1,0,0,"20160504_160027.063/LogFile.txt","","STInvalidDate -- Value is not a date: ''",0
