Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-04-25 16:25:42.897 -0600,"Failure",0:00:02,1,0,1,"20160425_162542.897/LogFile.txt","","Image Search Error -- click Error - Searching For Image: Bad value for (null).  Looking for a point, got '50'.",0
2016-04-25 16:26:42.546 -0600,"Running",0:00:00,0,0,0,"20160425_162642.546/LogFile.txt","","",0
2016-04-25 16:26:50.513 -0600,"Failure",0:00:15,1,0,1,"20160425_162650.513/LogFile.txt","","No Remote Connection -- click Error - Retrieving Frame Buffer:No Connection to Server\nWindows 2012 (VNC)\n",0
2016-04-25 16:27:29.981 -0600,"Success",0:00:04,0,0,0,"20160425_162729.981/LogFile.txt","","",1
2016-04-25 16:27:40.852 -0600,"Success",0:00:02,0,0,0,"20160425_162740.852/LogFile.txt","","",1
2016-04-25 16:28:08.445 -0600,"Success",0:00:02,0,0,0,"20160425_162808.445/LogFile.txt","","",1
2016-04-25 16:33:34.281 -0600,"Failure",0:00:21,1,0,1,"20160425_163334.281/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2016-04-25 16:34:21.837 -0600,"Failure",0:00:00,1,0,0,"20160425_163421.837/LogFile.txt","","STInvalidNumber -- Value is not a number: ''",0
2016-04-25 16:35:07.888 -0600,"Failure",0:00:00,1,0,0,"20160425_163507.888/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '(First Name,Last Name,Address,City,Zipcode,DOB,Social Security Number,Telephone,Marital Status,Sex,Submit)'.",0
2016-04-25 16:35:42.568 -0600,"Success",0:00:23,0,0,0,"20160425_163542.568/LogFile.txt","","",1
2016-04-25 16:42:41.043 -0600,"Running",0:00:00,0,0,0,"20160425_164241.043/LogFile.txt","","",0
2016-04-25 16:43:00.084 -0600,"Failure",0:00:00,1,0,0,"20160425_164300.084/LogFile.txt","","STFileException -- File /Users/randyhesse/Documents/Test SUTs/WebForm.suite/Resources/WebFormData.csv couldn't be read using the defaultStringEncoding (UTF8)",0
2016-04-25 16:43:38.152 -0600,"Failure",0:00:00,1,0,0,"20160425_164338.152/LogFile.txt","","STFileException -- File /Users/randyhesse/Documents/Test SUTs/WebForm.suite/Resources/WebFormData.csv couldn't be read using the defaultStringEncoding (UTF8)",0
